Date,Open,High,Low,Close,Adj Close,Volume
2021-08-23,45908.660156,46468.011719,45908.660156,46381.828125,46381.828125,0
2021-08-24,46381.828125,46626.531250,46381.828125,46563.460938,46563.460938,0
2021-08-25,46563.460938,46751.160156,46546.738281,46685.300781,46685.300781,0
2021-08-26,46685.300781,46693.929688,46364.199219,46380.718750,46380.718750,0
2021-08-27,46380.718750,46918.800781,46380.718750,46877.898438,46877.898438,0
2021-08-30,46877.898438,47137.988281,46877.898438,47046.570313,47046.570313,0
2021-08-31,47046.570313,47056.808594,46899.789063,46979.628906,46979.628906,0
2021-09-01,46979.628906,47186.468750,46979.628906,47044.691406,47044.691406,0
2021-09-02,47044.691406,47277.191406,47044.691406,47208.421875,47208.421875,0
2021-09-03,47208.421875,47245.578125,47060.101563,47198.269531,47198.269531,0
2021-09-07,47198.269531,47198.269531,46966.410156,47011.308594,47011.308594,0
2021-09-08,47011.308594,47011.308594,46649.410156,46859.148438,46859.148438,0
2021-09-09,46859.148438,47057.691406,46704.648438,46705.429688,46705.429688,0
2021-09-10,46705.429688,46982.738281,46337.019531,46344.480469,46344.480469,0
2021-09-13,46344.480469,46660.160156,46199.550781,46420.761719,46420.761719,0
2021-09-14,46420.761719,46582.570313,46029.328125,46108.269531,46108.269531,0
2021-09-15,46108.269531,46562.710938,46048.250000,46504.550781,46504.550781,0
2021-09-16,46504.550781,46621.558594,46184.109375,46491.269531,46491.269531,0
2021-09-17,46491.269531,46496.871094,46064.058594,46143.710938,46143.710938,0
2021-09-20,46143.710938,46143.710938,44760.601563,45304.039063,45304.039063,0
2021-09-21,45304.039063,45708.699219,45212.718750,45326.449219,45326.449219,0
2021-09-22,45326.449219,45996.230469,45326.449219,45769.730469,45769.730469,0
2021-09-23,45769.730469,46496.339844,45769.730469,46339.339844,46339.339844,0
2021-09-24,46339.339844,46446.699219,46144.398438,46361.230469,46361.230469,0
2021-09-27,46361.230469,46426.910156,46171.941406,46299.730469,46299.730469,0
2021-09-28,46299.730469,46299.730469,45272.410156,45313.820313,45313.820313,0
2021-09-29,45313.820313,45642.500000,45294.308594,45332.089844,45332.089844,0
2021-09-30,45332.089844,45573.570313,44846.839844,44850.031250,44850.031250,0
2021-10-01,44850.031250,45549.039063,44633.390625,45362.750000,45362.750000,0
2021-10-04,45362.750000,45362.750000,44527.871094,44737.199219,44737.199219,0
2021-10-05,44737.199219,45407.308594,44737.199219,45178.851563,45178.851563,0
2021-10-06,45178.851563,45363.308594,44611.148438,45346.261719,45346.261719,0
2021-10-07,45346.261719,46077.968750,45346.261719,45785.421875,45785.421875,0
2021-10-08,45785.421875,45912.308594,45624.531250,45654.558594,45654.558594,0
2021-10-11,45654.558594,45916.488281,45338.000000,45339.179688,45339.179688,0
2021-10-12,45339.179688,45540.199219,45246.101563,45332.550781,45332.550781,0
2021-10-13,45332.550781,45606.390625,45157.371094,45531.000000,45531.000000,0
2021-10-14,45531.000000,46290.511719,45531.000000,46270.781250,46270.781250,0
2021-10-15,46270.781250,46627.019531,46270.781250,46547.781250,46547.781250,0
2021-10-18,46547.781250,46755.378906,46341.140625,46736.859375,46736.859375,0
2021-10-19,46736.859375,47088.390625,46736.859375,47059.960938,47059.960938,0
2021-10-20,47059.960938,47285.121094,47059.960938,47235.519531,47235.519531,0
2021-10-21,47235.519531,47411.480469,47157.851563,47398.160156,47398.160156,0
2021-10-22,47398.160156,47458.218750,47053.781250,47281.859375,47281.859375,0
2021-10-25,47281.859375,47613.968750,47223.019531,47548.058594,47548.058594,0
2021-10-26,47548.058594,47873.269531,47498.218750,47560.621094,47560.621094,0
2021-10-27,47560.621094,47620.339844,47186.421875,47186.421875,47186.421875,0
2021-10-28,47186.421875,47722.480469,47186.421875,47717.640625,47717.640625,0
2021-10-29,47717.640625,47820.929688,47463.820313,47795.089844,47795.089844,0
2021-11-01,47795.089844,48045.500000,47777.289063,48040.140625,48040.140625,0
2021-11-02,48040.140625,48131.179688,47952.128906,48111.808594,48111.808594,0
2021-11-03,48111.808594,48547.730469,48060.890625,48521.871094,48521.871094,0
2021-11-04,48521.871094,48760.191406,48505.468750,48671.359375,48671.359375,0
